Controller family,Object Name,Action,ToolTip/Name,Value,Value1
Common,NewProject_Tabfolder,Select_Controller,,DiffDynamic_controllerFamily,DiffDynamic_controllerVariant
Common,NEXT_Button,Click_Button,,,
ETC1Hx,New Project Instruction Label,Text,,Give your project a good description and part number to identify it later,
EET,New Project Instruction Label,Text,,Select Controller Code Number And Product Version,
ERC11x,New Project Instruction Label,Text,,Select Controller Code Number And Product Version,
ERC21x,New Project Instruction Label,Text,,Select Controller CodeNumber And Application Type,
EKE1x,New Project Instruction Label,Text,,Select Controller Code Number And Product Version,
AK-CC55,New Project Instruction Label,Text,,Select Controller Code number and Software version,
,,,,,
,,,,,
"EKE1x,AK-CC55",Check_For_New_Wizard_CheckBox,CheckExistenceOfObject,,,
"EKE1x,AK-CC55",Check_For_New_Wizard_CheckBox,Enable,,TRUE,
"EKE1x,AK-CC55",Check_For_New_Wizard_CheckBox,Text,,Use a wizard for controller configuration,
"EKE1x,AK-CC55",Check_For_New_Wizard_CheckBox,Checked,,TRUE,
"EKE1x,AK-CC55",Check_For_New_Wizard_CheckBox,CheckCheckBox,,,
"EKE1x,AK-CC55",New Project Finish Button,Text,,NEXT >,
"EKE1x,AK-CC55",Check_For_New_Wizard_CheckBox,UncheckCheckBox,,,
"EKE1x,AK-CC55",New Project Finish Button,Text,,FINISH,
,,,,,
,,,,,
"ERC21x,ETC1Hx",Create_New_ApplicationCB,CheckExistenceOfObject,,,
"ERC21x,ETC1Hx",New Project Application Label,CheckExistenceOfObject,,,
"ERC21x,ETC1Hx",New Project Application Label,Text,,Application:,
ETC1Hx,New Project Part Number Label,CheckExistenceOfObject,,,
ETC1Hx,New Project Part Number Label,Text,,Your part number:,
ETC1Hx,New Project Part Number Edit,CheckExistenceOfObject,,,
ETC1Hx,New Project Power Supply Label,CheckExistenceOfObject,,,
ETC1Hx,New Project Power Supply Label,Text,,Power supply:,
ETC1Hx,New Project Power Supply ComboBox,CheckExistenceOfObject,,,
ETC1Hx,New Project Spindle Label,CheckExistenceOfObject,,,
ETC1Hx,New Project Spindle Label,Text,,Spindle:,
ETC1Hx,New Project Spindle ComboBox,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Instruction Label,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Project Name and Description Label,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Project Name and Description Label,Text,,Give your project filename and description,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Project Name Max Label,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Project Name Max Label,Text,,Project Name (Max 20 Characters),
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Create_New_ProjectName_edit,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Project Description Max Label,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Project Description Max Label,Text,,Project Description (Max 250 Characters),
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Create_New_ProjectDescription_Edit,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Product Label,CheckExistenceOfObject,,,
"ETC1Hx,ERC21x",New Project Dynamic Application Label,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Window Controller Image,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Window Controller WireImage,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",Product Description Label,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Cancel Button,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Cancel Button,Text,,CANCEL,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Cancel Button,Enable,,TRUE,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Finish Button,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Finish Button,Text,,FINISH,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Finish Button,Enable,,TRUE,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Back Button,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Back Button,Text,,< BACK ,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Back Button,Enable,,TRUE,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Close Button,CheckExistenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Close Button,Text,,X,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Close Button,Enable,,TRUE,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",Create_New_CodeNumberCB,CheckExistenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Code Number Label,CheckExistenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Code Number Label,Text,,Code Number:,
"EET,ERC11x",NewProject_PVComboBox,CheckExistenceOfObject,,,
"EET,ERC11x",New Project PVVersion Label,CheckExistenceOfObject,,,
"EET,ERC11x",New Project PVVersion Label,Text,,Product Version:,
AK-CC55,New Project SWVersion Label,CheckExistenceOfObject,,,
EKE1x,New Project SWVersion Label,Text,,Product Version:,
AK-CC55,New Project SWVersion Label,Text,,Software version:,
EKE1x,EKE PV version combobox,CheckExistenceOfObject,,,
,,,,,
"EET,ERC11x,EKE1x,AK-CC55",Create_New_ApplicationCB,CheckAbsenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x",Check_For_New_Wizard_CheckBox,CheckAbsenceOfObject,,,
"EET,ERC11x,EKE1x,AK-CC55",New Project Application Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Part Number Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Part Number Edit,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Power Supply Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Power Supply ComboBox,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Spindle Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Spindle ComboBox,CheckAbsenceOfObject,,,
ETC1Hx,Create_New_CodeNumberCB,CheckAbsenceOfObject,,,
ETC1Hx,New Project Code Number Label,CheckAbsenceOfObject,,,
"ETC1Hx,ERC21x,AK-CC55",NewProject_PVComboBox,CheckAbsenceOfObject,,,
"ETC1Hx,ERC21x,AK-CC55",New Project PVVersion Label,CheckAbsenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x",New Project SWVersion Label,CheckAbsenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x",EKE PV version combobox,CheckAbsenceOfObject,,,
"EET,ERC11x,EKE1x,AK-CC55",New Project Dynamic Application Label,CheckExistenceOfObject,,,
Common,New Project Back Button,Click_Button,,,
